date,channel,rank,code,name,score,picked,eligible,exclusion,pool_size,eligible_size,policy_id,code_sha,run_id,captured_at
2026-09-17,차트TOP2,1,373220,LG에너지솔루션,100.0,Y,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,2,105560,KB금융,100.0,Y,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,3,127120,제이에스링크,98.0,N,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,4,005290,동진쎄미켐,54.0,N,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,5,241710,코스메카코리아,54.0,N,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,6,077970,STX엔진,51.0,N,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-17,차트TOP2,7,047810,한국항공우주,46.0,N,Y,,7,7,chart-top2/v1/badge-pool,a29ed7e2,35188055098,2026-09-17T15:04:53.694356+09:00
2026-09-18,차트TOP2,1,267270,HD건설기계,100.0,Y,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,2,047050,포스코인터내셔널,100.0,Y,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,3,373220,LG에너지솔루션,100.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,4,128940,한미약품,84.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,5,486990,노타,74.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,6,237690,에스티팜,74.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,7,097230,HJ중공업,54.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,8,003000,부광약품,54.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,9,007810,코리아써키트,54.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
2026-09-18,차트TOP2,10,095500,미래나노텍,54.0,N,Y,,18,18,chart-top2/v1/badge-pool,ddb9825b,35313129116,2026-09-18T15:05:10.142940+09:00
